docno,title,img_link,description,ingredients,allergens,price
d1,Christmas Pralines assorted 72pcs per box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A selection of 72 beautifully crafted Christmas pralinés for an unforgettable indulgence. This box contains a selection of Läderach pralinés and truffles from the classic Läderach range and several seasonal varieties, all alcohol-free. It's an ideal size to share during a Christmas get-together or any other festive occasion. (800g)","sugar, cocoa butter, cocoa paste, whole powder, , , glucose, butter ( ), vegetable oils (palm kernel, palm, sunflower, coconut, rapeseed), skimmed powder, humectant (E420, E1103), , , dried coconut flakes, cream ( ), flour, invert sugar syrup, Chopped , , clarified butter ( ), caramel, emulsifier ( lecithin, sunflower lecithin), honey, vegetable fats (sunflower, rapeseed, illipe, shea, palm kernel, palm, coconut), , natural flavour, glucose syrup, fructose, coffee, cocoa beans kernels, maltodextrin, flavouring, natural flavouring substances, dextrose, salt, thickening agent (E414), protein, coating agent (E904), skim , ground cinnamon, anise, cocoa powder, coriander, malt, raising agent (E500), antioxidant (E306), fennel seeds, colouring (E100, E160b(ii)), cloves, Radish juice concentrate, Apple juice concentrate, black currant juice concentrate. milk milk wheat almond soya barley","May contain egg, other nuts.",CHF 21.10
d2,FrischSchoggi Star Hazelnut dark,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A Läderach FrischSchoggi Star makes an ideal gift for Advent. It is made from melt-in-your-mouth dark chocolate, freshly produced by the Swiss chocolatier. Caramelised hazelnuts from Piedmont add a fabulous crunch. (200g)","33%, sugar, cocoa paste, cocoa butter, vegetable oils (rapeseed), emulsifier ( lecithin, sunflower lecithin), natural flavouring substances. soya","May contain egg, gluten (incl. wheat), milk, other nuts.",CHF 21.10
d3,FrischSchoggi Sticks Christmasbox dark mini,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","We hope your Christmas is as colourful and sweet as this selection of fresh chocolate from Läderach chocolatier suisse: We combined our most popular FrischSchoggi varieties in an attractive, transparent packaging. Give this surprise to your loved ones, and sweeten their holidays. (95g)","cocoa paste, sugar, cocoa butter, , , orange juice from concentrate, emulsifier ( lecithin, sunflower lecithin), fructose, lemon juice from concentrate, vegetable oils (rapeseed), blackberry juice, pineapple fibres, gelling agent (E440), natural flavouring substances, flavouring, acidifier (E330), cocoa powder. soya","May contain egg, gluten (incl. wheat), milk, other nuts.",CHF 21.10
d4,Pralines Christmas assorted 72 pieces per woodbox,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This selection of 72 exquisite Christmas pralinés created by Läderach chocolatier suisse is an unforgettable experience during Advent. We’ve combined a selection of alcohol-free pralinés and truffles from our classic Läderach range with several Christmas-themed seasonal varieties. Presented in a wooden box, these pralinés are an eye-catcher at any holiday gathering. (800 g)","sugar, cocoa butter, cocoa paste, , whole powder, glucose, butter ( ), , vegetable oils (palm kernel, palm, sunflower, coconut), humectant (E420), , skimmed powder, , dried coconut flakes, invert sugar syrup, Chopped , , clarified butter ( ), honey, flour, cream ( ), emulsifier ( lecithin, sunflower lecithin), caramel, , fructose, cocoa beans kernels, vegetable fats (sunflower, rapeseed, shea, illipe, palm kernel, palm, coconut), maltodextrin, glucose syrup, natural flavour, dextrose, flavouring, natural flavouring substances, thickening agent (E414), salt, coating agent (E904), protein, cocoa powder, antioxidant (E306), raising agent (E500), malt, colouring (E100). milk almond wheat milk soya barley","May contain egg, other nuts.",CHF 21.10
d5,Pralinés assorted Stars 5pcs box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A fine selection of five exquisite Christmas pralinés from Läderach chocolatier suisse. Indulge yourself this Advent season with these star pralinés: white chocolate with orange marzipan, milk chocolate with mixed nut gianduja, white chocolate with almond gianduja, milk chocolate with butter foam and honey caramel, and dark chocolate with coconut gianduja, all alcohol-free. (60g)","sugar, cocoa butter, whole powder, cocoa paste, , dried coconut flakes, skimmed powder, butter ( ), vegetable oils (palm kernel, sunflower, coconut, palm), , , honey, cream ( ), glucose, , emulsifier ( lecithin, sunflower lecithin), humectant (E420), dextrose, caramel, vegetable fats (shea, illipe, palm kernel, palm, coconut), natural flavour, clarified butter ( ), ground cinnamon, thickening agent (E414), anise, natural flavouring substances, coriander, cocoa powder, glucose syrup, fennel seeds, maltodextrin, cloves, colouring (E100, E160b(ii)), Radish juice concentrate, Apple juice concentrate, black currant juice concentrate. milk milk soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d6,FrischSchoggi Pecans-Whisky Caramel milk,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","For this Limited Edition, whiskey-steeped pecans are gently caramelised and covered in Swiss milk chocolate and white chocolate with caramel and processed in our traditional chocolatier craft to the highest quality. Our Läderach chocolatier suisse FrischSchoggi is available as quarter, half or whole chocolate slabs. To experience the fresh aroma, break and enjoy within two to three weeks.","sugar, 22%, cocoa butter, whole powder, cocoa paste, , skimmed powder, Whisky 2%, vegetable oils (rapeseed, coconut), glucose syrup, maltodextrin, emulsifier ( lecithin, sunflower lecithin), natural flavour, , butter ( ), thickening agent (E414), natural flavouring substances, cocoa powder. soya milk","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d7,FrischSchoggi Sticks Box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","We hope your Christmas is as colourful and sweet as this selection of fresh chocolate from Läderach chocolatier suisse: We combined our most popular FrischSchoggi varieties in an attractive, transparent packaging. Give this surprise to your loved ones, and sweeten their holidays. (210g)","sugar, cocoa butter, , whole powder, cocoa paste, , skimmed powder, , , fructose, vegetable oils (rapeseed), blackberry juice, emulsifier ( lecithin, sunflower lecithin), natural flavour, raspberry juice, raspberry puree, acidifier (E330), flavouring, natural flavouring substances, cocoa powder. soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d8,Christmas Pralines 54 pce box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A selectionof 54 beautifully crafted Christmas pralinés for an unforgettable indulgence.This box contains a selection of pralinés and truffles from the classicLäderach range and several seasonal varieties, all alcohol-free. It's an idealsize to share during a Christmas get-together. (600g)","sugar, cocoa butter, cocoa paste, whole powder, , , butter ( ), glucose, vegetable oils (palm kernel, palm, sunflower, coconut, rapeseed), humectant (E420, E1103), skimmed powder, , , cream ( ), honey, invert sugar syrup, , Chopped , dried coconut flakes, clarified butter ( ), caramel, emulsifier ( lecithin, sunflower lecithin), flour, , fructose, natural flavour, coffee, cocoa beans kernels, maltodextrin, vegetable fats (sunflower, rapeseed, shea, illipe, palm kernel, palm, coconut), glucose syrup, dextrose, natural flavouring substances, flavouring, thickening agent (E414), salt, coating agent (E904), ground cinnamon, protein, cocoa powder, anise, coriander, malt, raising agent (E500), antioxidant (E306), colouring (E100), fennel seeds, cloves. milk milk almond soya wheat barley","May contain egg, other nuts.",CHF 21.10
d9,Pralines Star mixed,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']",This Christmas-inspired mix ensures an unforgettable Läderach chocolate pleasure during the Advent season. The mix contains praliné stars in the traditional varieties of cinnamon and plum gianduja with white chocolate as well as orange and honey gianduja with milk chocolate. These freshly made treats are a definite wintertime favourite. (200g),"sugar, cocoa butter, whole powder, , , vegetable fats (palm kernel, coconut, palm), skimmed powder, cocoa paste, , honey, plum juice, humectant (E420), orange juice, caramel, ground cinnamon, natural flavouring substances, emulsifier ( lecithin, sunflower lecithin), natural flavour. soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d10,Praline Christmas 144 pce Woodbox,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This selection of 144 exquisite Christmas pralinés created by Läderach chocolatier suisse is an unforgettable experience during Advent. We’ve combined a selection of alcohol-free pralinés and truffles from our classic Läderach range with several Christmas-themed seasonal varieties. Presented in a wooden box, these pralinés are an eye-catcher at any holiday gathering. (1680g)","sugar, cocoa butter, cocoa paste, whole powder, , , glucose, butter ( ), vegetable oils (palm kernel, palm, sunflower, coconut, rapeseed), skimmed powder, humectant (E420, E1103), , , dried coconut flakes, cream ( ), flour, invert sugar syrup, Chopped , , clarified butter ( ), caramel, emulsifier ( lecithin, sunflower lecithin), honey, vegetable fats (sunflower, rapeseed, shea, illipe, palm kernel, palm, coconut), , natural flavour, glucose syrup, fructose, coffee, cocoa beans kernels, maltodextrin, flavouring, natural flavouring substances, dextrose, salt, thickening agent (E414), protein, coating agent (E904), skim , ground cinnamon, anise, cocoa powder, coriander, raising agent (E500), antioxidant (E306), malt, fennel seeds, colouring (E100, E160b(ii)), cloves, Radish juice concentrate, Apple juice concentrate, black currant juice concentrate. milk milk wheat almond soya barley","May contain egg, other nuts.",CHF 21.10
